2026-07-11 18:39:39 | INFO     | plt_optimizer | Starting optimization with Christofides-Serdyukov S-T Path (5/3 approx) on 1 blocks
2026-07-11 18:39:39 | INFO     | plt_optimizer | Running Christofides-Serdyukov S-T Path (5/3 approx) on 1 blocks
2026-07-11 18:39:39 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:39 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:39 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:39 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_metric_event_has_correct_0\cad_benchmark\optimized\christofides\square_optimized.plt
2026-07-11 18:39:39 | INFO     | plt_optimizer | Starting optimization with Simulated Annealing on 1 blocks
2026-07-11 18:39:39 | INFO     | plt_optimizer | Running Simulated Annealing on 1 blocks
2026-07-11 18:39:39 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:39 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:39 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:39 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_metric_event_has_correct_0\cad_benchmark\optimized\sa\square_optimized.plt
2026-07-11 18:39:40 | INFO     | plt_optimizer | Starting optimization with Genetic Algorithm on 1 blocks
2026-07-11 18:39:40 | INFO     | plt_optimizer | Running Genetic Algorithm on 1 blocks
2026-07-11 18:39:40 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:40 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:40 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:40 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_metric_event_has_correct_0\cad_benchmark\optimized\genetic\square_optimized.plt
